breed,Group
LABRADOR RETRIEVER,Sporting
GOLDEN RETRIEVER,Sporting
GER SHEPHERD,Herding
SHIH TZU,Toy
BEAGLE,Hunting
BOXER,Sporting
DACHSHUND,Toy
YORKSHIRE TERRIER,Terrier
GOLDENDOODLE,Stupid
CHIHUAHUA,Toy
AM PIT BULL TERRIER,Terrier
TAG,Stupid
AUS SHEPHERD,Herding
PUG,Toy
COCKER SPANIEL,Herding
SIB HUSKY,Sporting
SHETLAND SHEEPDOG,Herding
BOSTON TERRIER,Terrier
MALTESE,Stupid
ROTTWEILER,Sporting
CAV KING CHAR SPANI,Toy
BICHON FRISE,Yoy
SCHNAUZER MIN,Toy
LABRADOODLE,Stupid
COCKAPOO,Stupid
POMERANIAN,Toy
ENG SPRINGER SPANIE,Herding
ENG BULLDOG,Sporting
PARSON RUSSELL TERR,Terrier
DOBERMAN PINSCHER,Sporting
W HGHLND WH TERRIER,Terrier
BORD COLLIE,Herding
HAVANESE,Stupid
POODLE STANDARD,Sporting
GER SHORTHAIR POINT,Hunting
SFT COAT WHEAT TERR,Terrier
POODLE TOY,Toy
BRITTANY SPANIEL,Herding
GREAT DANE,Sporting
GREYHOUND,Hunting
MIN PINSCHER,Toy
MORKIE,Stupid
PUGGLE,Stupid
WELSH CORGI PEMBROK,Herding
FRENCH BULLDOG,Sporting
JACK RUSSEL TERRIER,Terrier
CAIRN TERRIER,Terrier
WEIMARANER,Hunting
AM BULLDOG,Sporting
COLLIE,Herding
